t,overall_sec,step_idx,step_name,step_acc,event
22:31:34,0.00,0,손바닥 비비기,0.00,start
22:31:39,5.00,0,손바닥 비비기,5.00,step_completed
22:31:44,10.39,1,손등 비비기,0.33,next
22:31:49,15.06,1,손등 비비기,5.01,step_completed
22:31:54,20.48,2,손가락 사이 비비기,0.37,next
22:31:59,25.13,2,손가락 사이 비비기,5.02,step_completed
22:32:04,30.58,3,손가락 끝 비비기,0.40,next
22:32:09,35.18,3,손가락 끝 비비기,5.00,step_completed
22:32:14,40.63,4,엄지손가락 비비기,0.43,next
22:32:19,45.23,4,엄지손가락 비비기,5.03,step_completed
22:32:24,50.63,5,손목 비비기,0.36,next
22:32:29,55.30,5,손목 비비기,5.03,step_completed
22:32:30,55.30,5,손목 비비기,5.03,complete
22:32:30,55.30,5,손목 비비기,5.03,complete
